especie,fecha,apertura,maximo,minimo,cierre,volumen,timestamp
SPY_US,1993-01-29,43.9688,43.9688,43.75,43.9375,1003200,728272800
SPY_US,1993-02-01,43.9688,44.25,43.9688,44.25,480500,728532000
SPY_US,1993-02-02,44.2188,44.375,44.125,44.3438,201300,728618400
SPY_US,1993-02-03,44.4062,44.8438,44.375,44.8125,529400,728704800
SPY_US,1993-02-04,44.9688,45.0938,44.875,45,531500,728791200
SPY_US,1993-02-05,44.9688,45.0625,44.7188,44.9688,492100,728877600
SPY_US,1993-02-08,44.9688,45.125,44.9062,44.9688,596100,729136800
SPY_US,1993-02-09,44.8125,44.8125,44.5625,44.6562,122100,729223200
SPY_US,1993-02-10,44.6562,44.75,44.5312,44.7188,379600,729309600
SPY_US,1993-02-11,44.7812,45.125,44.7812,44.9375,19500,729396000
SPY_US,1993-02-12,44.875,44.875,44.5938,44.5938,42500,729482400
SPY_US,1993-02-16,44.4688,44.4688,43.4062,43.4688,374800,729828000
SPY_US,1993-02-17,43.4688,43.5312,43.2812,43.4375,210900,729914400
SPY_US,1993-02-18,43.9375,43.9375,42.8125,43.4062,378100,730000800
SPY_US,1993-02-19,43.4062,43.5625,43.3438,43.5625,34900,730087200
SPY_US,1993-02-22,43.6875,43.7812,43.5625,43.7188,513600,730346400
SPY_US,1993-02-23,43.8438,43.875,43.4688,43.6875,373700,730432800
SPY_US,1993-02-24,43.7188,44.25,43.7188,44.25,26300,730519200
SPY_US,1993-02-25,44.2188,44.375,44.125,44.3438,44500,730605600
SPY_US,1993-02-26,44.4375,44.4375,44.1875,44.4062,66200,730692000
SPY_US,1993-03-01,44.5625,44.5625,44.2188,44.2812,66500,730951200
SPY_US,1993-03-02,44.3125,44.9375,44.25,44.9375,182400,731037600
SPY_US,1993-03-03,45,45.1562,44.9375,45.125,280100,731124000
SPY_US,1993-03-04,45.1875,45.1875,44.875,44.875,89500,731210400
SPY_US,1993-03-05,44.9375,45.125,44.7188,44.75,40000,731296800
